Sol Run Kill Gain Pe Ee Fit Gainl Pl El Fl

0-1= 3, -14.210411707707673, -7.751431370204516, 6.4589803375031565, 18.414374081682084, [-70.0, -80.0, -40.0, 1.6000000000002341, 47.8000000000003, 38.80000000000028, -50.0, -80.0], [0, 0, 0, 1.6000000000002341, 47.8000000000003, 38.80000000000028, 0, 0], [70.0, 80.0, 40.0, 0, 0, 0, 50.0, 80.0], [21.924826184766175, 12.918595635015537, 48.057200624873296, 83.73837773219351, 88.37477154196918, 87.57921420533678, 40.14018759563833, 12.557582289478207]
0-2= 2, -17.617298111634295, -6.242047106606126, 11.375251005028169, 18.451534974273926, [-70.0, -80.0, -40.0, 1.6000000000002341, 11.600000000000264, 38.80000000000028, -50.0, -80.0], [0, 0, 0, 1.6000000000002341, 31.600000000000264, 38.80000000000028, 0, 0], [70.0, 80.0, 40.0, 0, 20.0, 0, 50.0, 80.0], [21.924826184766175, 12.918595635015537, 48.057200624873296, 83.73837773219351, 68.25224472101789, 87.57921420533678, 40.14018759563833, 12.557582289478207]
0-3= 3, -13.796947009721366, -7.33796667221821, 6.4589803375031565, 18.4390248390832, [-70.0, -80.0, -40.0, 1.6000000000002341, 44.200000000000294, 38.80000000000028, -50.0, -80.0], [0, 0, 0, 1.6000000000002341, 44.200000000000294, 38.80000000000028, 0, 0], [70.0, 80.0, 40.0, 0, 0, 0, 50.0, 80.0], [21.924826184766175, 12.918595635015537, 48.057200624873296, 83.73837773219351, 87.58052356177119, 87.57921420533678, 40.14018759563833, 12.557582289478207]
0-4= 3, -18.047285317763773, -11.588304980260617, 6.4589803375031565, 18.302394565183487, [-70.0, -80.0, -40.0, 1.6000000000002341, 74.20000000000024, 38.80000000000028, -50.0, -80.0], [0, 0, 0, 1.6000000000002341, 74.20000000000024, 38.80000000000028, 0, 0], [70.0, 80.0, 40.0, 0, 0, 0, 50.0, 80.0], [21.924826184766175, 12.918595635015537, 48.057200624873296, 83.73837773219351, 91.46157530697025, 87.57921420533678, 40.14018759563833, 12.557582289478207]
0-5= 3, -12.948788993820214, -6.489808656317058, 6.4589803375031565, 18.457496197201042, [-70.0, -80.0, -40.0, 1.6000000000002341, 35.20000000000027, 38.80000000000028, -50.0, -80.0], [0, 0, 0, 1.6000000000002341, 35.20000000000027, 38.80000000000028, 0, 0], [70.0, 80.0, 40.0, 0, 0, 0, 50.0, 80.0], [21.924826184766175, 12.918595635015537, 48.057200624873296, 83.73837773219351, 86.9449241594004, 87.57921420533678, 40.14018759563833, 12.557582289478207]
1-1= 1, -16.765086548764753, -5.389835543736585, 11.375251005028169, 18.08841941417792, [-100, -70.0, -10.0, -40.0, 26.20000000000025, -20.0, -40.0, -60.0], [0, 0, 0, 0, 26.20000000000025, 0, 0, 0], [100, 70.0, 10.0, 40.0, 0, 20.0, 40.0, 60.0], [-5.209486152841421, 21.54041448585584, 75.01858578874553, 48.046756665712216, 86.18224835026362, 65.35621026685233, 48.50693855665945, 30.0572006248733]
1-2= 1, -20.09773295367056, -8.722481948642388, 11.375251005028169, 17.978009404300366, [-100, -70.0, -10.0, -40.0, 42.40000000000029, -20.0, -40.0, -60.0], [0, 0, 0, 0, 42.40000000000029, 0, 0, 0], [100, 70.0, 10.0, 40.0, 0, 20.0, 40.0, 60.0], [-5.209486152841421, 21.54041448585584, 75.01858578874553, 48.046756665712216, 88.16695546589962, 65.35621026685233, 48.50693855665945, 30.0572006248733]
1-3= 1, -17.75253733540351, -6.377286330375342, 11.375251005028169, 18.070942772729342, [-100, -70.0, -10.0, -40.0, 31.000000000000263, -20.0, -40.0, -60.0], [0, 0, 0, 0, 31.000000000000263, 0, 0, 0], [100, 70.0, 10.0, 40.0, 0, 20.0, 40.0, 60.0], [-5.209486152841421, 21.54041448585584, 75.01858578874553, 48.046756665712216, 86.50969895180333, 65.35621026685233, 48.50693855665945, 30.0572006248733]
1-4= 0, -14.196023956157777, 0.0, 14.196023956157777, 18.50722347144404, [-100, -70.0, -10.0, -40.0, -10.0, -20.0, -40.0, -60.0], [0, 0, 0, 0, 0, 0, 0, 0], [100, 70.0, 10.0, 40.0, 10.0, 20.0, 40.0, 60.0], [-5.209486152841421, 21.54041448585584, 75.01858578874553, 48.046756665712216, 74.28219530497631, 65.35621026685233, 48.50693855665945, 30.0572006248733]
1-5= 1, -12.321558008890356, -0.9463070038621875, 11.375251005028169, 18.190176463826983, [-100, -70.0, -10.0, -40.0, 4.600000000000234, -20.0, -40.0, -60.0], [0, 0, 0, 0, 4.600000000000234, 0, 0, 0], [100, 70.0, 10.0, 40.0, 0, 20.0, 40.0, 60.0], [-5.209486152841421, 21.54041448585584, 75.01858578874553, 48.046756665712216, 84.1500817217735, 65.35621026685233, 48.50693855665945, 30.0572006248733]
