Generation Best Mean Std
0 36.53231167201015 12.133388010093649 8.956553318176011
1 36.53231167201015 12.425206584012978 10.376806332727952
2 36.53231167201015 11.921114462158325 10.943870967635572
3 36.53231167201015 13.192652536926639 10.412072597532818
4 36.53231167201015 13.470144375694044 11.379570269518627
5 36.53231167201015 14.874964267446254 10.099249545511293
6 36.53231167201015 15.15771328775261 10.096725237959143
7 36.53231167201015 15.732814757712484 10.580001585425029
8 37.07071577764637 16.252312586051755 11.674094597788006
9 37.07071577764637 17.782507689183685 11.964495902371103
10 37.07071577764637 17.985876670617987 11.909232311059617
11 37.07071577764637 17.978733605442333 12.34795823614105
12 37.07071577764637 16.535962461901637 12.621179750765094
13 37.07071577764637 17.284547752484375 12.242876952811196
14 37.07071577764637 16.838300261087596 11.632832551985455
15 37.07071577764637 17.047726420273882 12.07969052761337
16 37.07071577764637 16.45891025332299 12.599022841492946
17 37.07071577764637 16.647013583010516 12.349958814180468
18 37.07071577764637 17.98576819814653 12.981928014701827
19 37.07071577764637 19.421768349293956 12.782091642164334
20 37.07071577764637 20.358255433336037 13.05634191975585
21 37.07071577764637 20.457590113838187 12.829891092554774
22 48.95091071091452 21.149319223358624 13.71840064897988
23 48.95091071091452 20.271976599595153 14.399211711761524
24 48.95091071091452 20.159708270747167 14.33305013911058
25 48.95091071091452 20.74922180240505 14.314990478802828
26 48.95091071091452 22.095004233634242 14.282337029987962
27 48.95091071091452 22.534385356627038 13.861472497799348
28 48.95091071091452 22.61892022315697 13.838105174245603
29 48.95091071091452 22.922233880311524 13.68634388506217
30 48.95091071091452 23.38592505437429 13.535543845779923
31 48.95091071091452 23.857080778969348 14.054658206423477
32 48.95091071091452 25.05106768770446 13.640436009591838
33 48.95091071091452 25.161312656033527 13.434485278361212
34 48.95091071091452 23.540707603309656 14.148689112293827
35 48.95091071091452 24.25218747221114 14.194949784394154
36 48.95091071091452 22.51254134096149 14.578929964986523
37 48.95091071091452 22.864688877659262 15.015982206521212
38 48.95091071091452 21.810974569572622 15.343591513758021
39 48.95091071091452 21.567279637785017 14.890388849717331
40 48.95091071091452 23.043332454446997 14.468954091260763
41 48.95091071091452 23.00297246103513 13.672929333673846
42 48.95091071091452 22.57203735870381 14.099722027055352
